name,area_name,percent_change,year2022,year2100
Burundi,Africa,202.1242363041515,13063.282999999992,39467.34400000003
Comoros,Africa,85.9508801353071,844.3019999999998,1569.987
Djibouti,Africa,48.55212440742546,1128.5499999999997,1676.4849999999997
Eritrea,Africa,131.01986746411387,3715.5220000000013,8583.593999999996
Ethiopia,Africa,159.4904479215443,124937.25900000002,324200.25299999997
Kenya,Africa,106.36735029056406,54555.095000000016,112583.90400000002
Madagascar,Africa,178.68851424966078,29963.345,83504.40100000003
Malawi,Africa,183.70249012915465,20664.389999999996,58625.38900000001
Mauritius,Africa,-35.10236928029148,1299.8039999999999,843.542
Mayotte,Africa,311.52189150322044,330.99600000000004,1362.1209999999996
Mozambique,Africa,218.45974785805134,33420.619,106431.21900000001
Reunion,Africa,13.74466753649386,977.9720000000001,1112.3909999999998
Rwanda,Africa,142.96398166000856,13935.012,33857.06
Seychelles,Africa,-3.624592454587801,107.35000000000002,103.45900000000002
Somalia,Africa,272.2136990534024,17865.030000000002,66496.08900000007
South Sudan,Africa,115.79511121194865,10996.794999999998,23730.546000000006
Uganda,Africa,176.04155177130133,47914.973,132265.23500000004
United Republic of Tanzania,Africa,269.63553182292435,66455.89799999996,245644.612
Zambia,Africa,214.26789728655217,20289.612000000012,63763.737
Zimbabwe,Africa,116.21102984862087,16488.131999999998,35649.16
Angola,Africa,268.90852797751756,36128.402,133280.75600000002
Cameroon,Africa,208.76740526467933,28276.86099999999,87309.73000000003
Central African Republic,Africa,232.55586080715568,5657.991999999998,18815.983999999997
Chad,Africa,262.79322414217586,17997.367000000006,65293.22800000001
Congo,Africa,185.25865575321282,6038.295999999996,17224.762000000006
Democratic Republic of the Congo,Africa,331.1461570013233,100606.56599999999,433761.3429999999
Equatorial Guinea,Africa,127.68998630362506,1694.6090000000006,3858.4549999999995
Gabon,Africa,118.59781546416627,2412.778,5274.280000000002
Sao Tome and Principe,Africa,131.86878277381925,229.60399999999998,532.3799999999999
Algeria,Africa,49.71048226782319,45262.85800000001,67763.243
Egypt,Africa,83.58134744303398,111847.40000000004,205330.96400000007
Libya,Africa,23.480069442497914,6849.984000000001,8458.364999999998
Morocco,Africa,16.4640628127367,37651.472,43850.43399999997
Sudan,Africa,199.7984728801785,47486.90899999997,142365.02799999996
Tunisia,Africa,8.902396147163488,12403.537,13507.748999999998
Western Sahara,Africa,93.19172712581228,581.6600000000002,1123.719
Botswana,Africa,57.41394017133005,2653.008999999999,4176.206
Eswatini,Africa,65.2506412292364,1205.8869999999988,1992.7359999999999
Lesotho,Africa,27.829777097687135,2317.337999999999,2962.2479999999996
Namibia,Africa,94.28847322642032,2584.8429999999985,5022.051999999997
South Africa,Africa,23.856783090515822,60140.97099999996,74488.67199999998
Benin,Africa,245.62666811515328,13531.365,46768.00600000001
Burkina Faso,Africa,168.35655420610777,22959.516000000003,61613.365999999995
Cabo Verde,Africa,11.733714224331882,595.7959999999996,665.7049999999999
Cote d'Ivoire,Africa,214.33973981741673,28510.59399999999,89620.127
Gambia,Africa,143.58448450473048,2739.0940000000005,6672.008000000003
Ghana,Africa,115.74080542387586,33797.23499999997,72914.42700000001
Guinea,Africa,143.92765246668685,14023.588000000003,34207.40900000001
Guinea-Bissau,Africa,124.12715538509111,2128.0420000000004,4769.520000000001
Liberia,Africa,147.12739543864927,5359.508999999999,13244.814999999995
Mali,Africa,280.5484217504238,22938.514,87292.153
Mauritania,Africa,222.88117544185755,4798.604000000002,15493.788999999999
Niger,Africa,528.7448247114482,26696.09600000001,167850.32200000001
Nigeria,Africa,147.10284904104284,221153.992,546477.815
Saint Helena,Africa,-47.71791994014221,5.345999999999999,2.794999999999997
Senegal,Africa,255.1850280713114,17536.230999999992,62286.06699999999
Sierra Leone,Africa,94.97397413578398,8697.88600000001,16958.613999999994
Togo,Africa,202.37418166676568,8950.663000000006,27064.494
Kazakhstan,Asia,75.04460656227498,19500.493999999984,34134.56300000001
Kyrgyzstan,Asia,79.25351969579738,6683.176999999999,11979.829999999998
Tajikistan,Asia,103.11668484252712,10049.04299999999,20411.283000000014
Turkmenistan,Asia,36.01534117526402,6474.341000000002,8806.097000000003
Uzbekistan,Asia,45.460687542355835,34902.25699999999,50769.063
China,Asia,-46.5549767136399,1425849.2880000004,762045.4839999998
"China, Hong Kong SAR",Asia,-35.32846877131993,7488.580999999997,4842.9800000000005
"China, Macao SAR",Asia,47.684765675246915,699.67,1033.306
"China, Taiwan Province of China",Asia,-36.41743999476684,23908.998000000003,15201.953
Dem. People's Republic of Korea,Asia,-21.815656302270114,26116.71599999999,20419.183000000005
Japan,Asia,-40.59274334590089,123625.07400000007,73442.26499999998
Mongolia,Asia,53.54696857544635,3423.373999999999,5256.486999999999
Republic of Korea,Asia,-53.743198651403425,51802.59399999999,23962.223000000005
Afghanistan,Asia,166.2538295654884,41677.05200000001,110966.74699999999
Bangladesh,Asia,2.1459228590187696,172075.15099999995,175767.75100000002
Bhutan,Asia,-16.953671913318743,784.9449999999997,651.8679999999999
India,Asia,7.332775440318676,1422026.5279999995,1526300.5399999998
Iran (Islamic Republic of),Asia,-10.329240646955924,88844.49799999998,79667.53600000004
Maldives,Asia,-10.350046398606983,522.6449999999996,468.5510000000002
Nepal,Asia,9.567285110093858,30723.208999999988,33662.586
Pakistan,Asia,104.6239305136603,238126.11299999992,487263.01200000005
Sri Lanka,Asia,-33.23200424141488,21864.402000000002,14598.423000000003
Brunei Darussalam,Asia,-10.52673608184308,450.81400000000014,403.35800000000006
Cambodia,Asia,13.17210082492043,16855.079000000005,19075.246999999996
Indonesia,Asia,7.139584576286836,276386.3890000001,296119.2290000002
Lao People's Democratic Republic,Asia,27.60905462689156,7581.980000000004,9675.292999999998
Malaysia,Asia,15.519871564121582,34125.044,39421.20699999998
Myanmar,Asia,-3.8255292284042683,54380.867999999944,52300.512
Philippines,Asia,54.62146561818169,116451.69399999997,180059.3160000001
Singapore,Asia,-9.194966337952138,5995.475999999999,5444.1939999999995
Thailand,Asia,-38.15620489437995,71753.80799999999,44375.278000000006
Timor-Leste,Asia,33.192271478314446,1350.9440000000002,1799.3530000000005
Viet Nam,Asia,-7.828312324588326,98531.42900000002,90818.08100000002
Armenia,Asia,-42.804293605672555,2777.7119999999995,1588.7320000000004
Azerbaijan,Asia,-20.70698629321918,10386.537999999999,8235.798999999997
Bahrain,Asia,38.55393416461547,1478.8400000000004,2048.991
Cyprus,Asia,6.478477136261995,1255.8969999999997,1337.26
Georgia,Asia,-36.964388780795495,3735.4520000000016,2354.665
Iraq,Asia,148.2047322617524,44996.074000000015,111682.38500000004
Israel,Asia,102.55148181642986,9105.884999999997,18444.105000000007
Jordan,Asia,55.68588951113007,11315.546999999999,17616.709999999992
Kuwait,Asia,14.129941730228499,4290.046000000001,4896.227
Lebanon,Asia,-12.756974326251648,5425.542,4733.407
Oman,Asia,70.24017668568986,4609.314999999997,7846.906
Qatar,Asia,62.328551461724146,2705.914,4392.470999999999
Saudi Arabia,Asia,37.51107825615536,36681.08899999999,50440.56099999999
State of Palestine,Asia,141.36989381523554,5310.178000000001,12817.171
Syrian Arab Republic,Asia,91.7163524449657,22660.910999999993,43444.671999999984
Turkiye,Asia,-3.8176546186613725,85590.84899999997,82323.286
United Arab Emirates,Asia,48.98942883824401,9478.996000000001,14122.701999999997
Yemen,Asia,117.8022087876909,34070.90700000001,74207.18800000001
Belarus,Europe,-32.19410145639539,9520.011000000002,6455.129000000001
Bulgaria,Europe,-56.52542202893341,6730.285000000002,2925.9629999999993
Czechia,Europe,6.592232738542511,10490.467000000004,11182.023000000003
Hungary,Europe,-32.487682104003234,10246.068000000007,6917.358000000002
Poland,Europe,-44.559846473303075,41477.607000000025,22995.249000000003
Republic of Moldova,Europe,-29.90600257487238,3497.648999999999,2451.642000000001
Romania,Europe,-34.83137014004953,20055.76,13070.064000000002
Russian Federation,Europe,-22.64120878671272,144694.1119999999,111933.61599999998
Slovakia,Europe,-34.244137337320666,5847.470999999998,3845.0550000000003
Ukraine,Europe,-43.59780293886707,36069.27400000001,20343.86299999999
Denmark,Europe,20.4043689305569,5896.546,7099.698999999996
Estonia,Europe,-37.11371028384535,1324.5240000000001,832.9440000000003
Faroe Islands,Europe,28.88650722021659,53.184000000000005,68.547
Finland,Europe,-9.445849963234428,5543.228,5019.623
Guernsey,Europe,-11.165944028380027,63.42500000000003,56.342999999999996
Iceland,Europe,-1.6403608419646745,374.12500000000017,367.98799999999983
Ireland,Europe,13.462910853636634,5040.329000000003,5718.903999999999
Isle of Man,Europe,4.457183381596886,84.60499999999996,88.376
Jersey,Europe,45.278746270802536,111.28400000000005,161.67199999999997
Latvia,Europe,-48.362516600337784,1840.324,950.2969999999997
Lithuania,Europe,-45.164312476706456,2731.442,1497.8049999999996
Norway,Europe,32.49248897983416,5454.319,7226.563000000001
Sweden,Europe,24.72626234225893,10581.025,13197.317000000003
United Kingdom,Europe,4.193433099934417,67623.56599999999,70459.31499999999
Albania,Europe,-61.78820490350183,2836.789000000001,1083.9879999999998
Andorra,Europe,-24.79239619809908,79.96000000000001,60.13599999999998
Bosnia and Herzegovina,Europe,-46.25756905912684,3221.008000000001,1731.0480000000005
Croatia,Europe,-47.64689725998769,4019.5439999999985,2104.3559999999998
Gibraltar,Europe,-27.199828604658304,32.67300000000001,23.785999999999998
Greece,Europe,-38.62822902359284,10360.329999999998,6358.318000000003
Italy,Europe,-37.629683299695564,58955.54800000001,36770.762
Kosovo (under UNSC res. 1244),Europe,-43.70189695047203,1661.6670000000001,935.487
Malta,Europe,-27.82419219875818,534.1970000000002,385.5609999999999
Montenegro,Europe,-31.76255439613309,626.6529999999998,427.61199999999997
North Macedonia,Europe,-42.36216973977523,2088.656,1203.8560000000002
Portugal,Europe,-33.05214051200116,10259.508,6868.521
San Marino,Europe,-22.54546535124216,33.65200000000002,26.065000000000005
Serbia,Europe,-54.79532497625726,7181.140000000001,3246.2109999999993
Slovenia,Europe,-21.493618328042878,2119.898999999998,1664.2560000000008
Spain,Europe,-35.25152757988154,47541.049,30782.103000000003
Austria,Europe,-11.260896955567931,8949.518000000007,7941.7220000000025
Belgium,Europe,-1.3327443041110842,11671.180999999997,11515.634000000002
France,Europe,-6.026462268996773,64692.714000000014,60794.03200000002
Germany,Europe,-17.314596562402578,83312.897,68887.605
Liechtenstein,Europe,5.139642151147958,39.458000000000034,41.486
Luxembourg,Europe,35.20258692167377,651.2760000000001,880.5420000000001
Monaco,Europe,40.187481100695514,36.376999999999995,50.996
Netherlands,Europe,-5.816811836415056,17591.475,16568.212000000003
Switzerland,Europe,19.176133998621975,8768.925999999996,10450.466999999997
Anguilla,Latin America and the Caribbean,-40.26947050305353,15.882999999999997,9.487000000000005
Antigua and Barbuda,Latin America and the Caribbean,-18.90831366043511,94.03799999999998,76.25700000000002
Aruba,Latin America and the Caribbean,-43.66617129742845,106.318,59.89300000000002
Bahamas,Latin America and the Caribbean,-2.1919619956189025,411.3209999999998,402.3050000000002
Barbados,Latin America and the Caribbean,-28.188269524181248,281.8300000000001,202.38700000000006
"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,7.0115197164377125,27.084,28.98299999999999
British Virgin Islands,Latin America and the Caribbean,0.706443914081116,31.424999999999997,31.646999999999988
Cayman Islands,Latin America and the Caribbean,14.145585209655392,69.01800000000003,78.78099999999999
Cuba,Latin America and the Caribbean,-42.44071898125252,11203.797,6448.825
Curacao,Latin America and the Caribbean,1.0463198764246027,191.62400000000008,193.62899999999996
Dominica,Latin America and the Caribbean,-27.718696397941677,72.875,52.675000000000004
Dominican Republic,Latin America and the Caribbean,5.245360367846672,11281.874999999995,11873.649999999996
Grenada,Latin America and the Caribbean,-8.36340226669416,125.82199999999996,115.29900000000004
Guadeloupe,Latin America and the Caribbean,-19.682851855971304,395.5879999999998,317.7250000000001
Haiti,Latin America and the Caribbean,38.087273085481435,11653.948,16092.619000000002
Jamaica,Latin America and the Caribbean,-68.76160527262904,2825.763,882.7229999999997
Martinique,Latin America and the Caribbean,-37.561742009617355,367.25400000000013,229.30699999999996
Montserrat,Latin America and the Caribbean,-41.607834206331155,4.390999999999998,2.563999999999998
Puerto Rico,Latin America and the Caribbean,-61.27347059130685,3255.669999999999,1260.808
Saint-Barthelemy,Latin America and the Caribbean,-53.31086619910739,10.979000000000001,5.126
Saint Kitts and Nevis,Latin America and the Caribbean,-24.87737391523076,47.70599999999998,35.838
Saint Lucia,Latin America and the Caribbean,-32.74228591432681,179.96299999999994,121.039
Saint Martin (French part),Latin America and the Caribbean,7.813918542403618,31.943000000000005,34.43899999999999
Saint Vincent and the Grenadines,Latin America and the Caribbean,-30.286942110537236,103.78399999999999,72.35100000000003
Sint Maarten (Dutch part),Latin America and the Caribbean,-41.21361640487075,44.18200000000001,25.97300000000001
Trinidad and Tobago,Latin America and the Caribbean,-31.408655473640344,1533.157,1051.6129999999998
Turks and Caicos Islands,Latin America and the Caribbean,21.46002266980548,45.87600000000001,55.720999999999975
United States Virgin Islands,Latin America and the Caribbean,-62.11323039660911,99.08999999999995,37.54200000000001
Belize,Latin America and the Caribbean,37.79645891865114,407.8980000000003,562.0690000000001
Costa Rica,Latin America and the Caribbean,-13.027483374546078,5194.595000000002,4517.87
El Salvador,Latin America and the Caribbean,-33.03473986173228,6348.988999999998,4251.617000000001
Guatemala,Latin America and the Caribbean,45.430688611271805,17965.114000000005,26126.789000000004
Honduras,Latin America and the Caribbean,44.12211138980938,10510.764000000006,15148.334999999994
Mexico,Latin America and the Caribbean,-10.0172703461321,127984.11700000001,115163.602
Nicaragua,Latin America and the Caribbean,30.32523125158091,6997.789999999999,9119.886000000002
Panama,Latin America and the Caribbean,39.74554060622191,4437.879000000003,6201.7379999999985
Argentina,Latin America and the Caribbean,4.0146963341498445,45630.699000000015,47462.632999999965
Bolivia (Plurinational State of),Latin America and the Caribbean,53.297175584795674,12299.254,18854.409000000007
Brazil,Latin America and the Caribbean,-14.739903836578689,215802.22200000007,183993.182
Chile,Latin America and the Caribbean,-14.577840736275865,19615.037999999993,16755.589000000004
Colombia,Latin America and the Caribbean,-12.06661470155614,51959.22100000003,45689.50199999998
Ecuador,Latin America and the Caribbean,18.2772863828108,18096.55399999999,21404.11299999999
Falkland Islands (Malvinas),Latin America and the Caribbean,-26.979936642027454,3.788,2.766
French Guiana,Latin America and the Caribbean,202.2328884853005,308.3450000000001,931.9200000000001
Guyana,Latin America and the Caribbean,-22.486215575936747,810.879,628.5429999999999
Paraguay,Latin America and the Caribbean,25.981642479343215,6818.241000000004,8589.732
Peru,Latin America and the Caribbean,22.953357319707717,34187.46499999998,42034.63599999999
Suriname,Latin America and the Caribbean,13.493714913842988,620.437,704.157
Uruguay,Latin America and the Caribbean,-29.92591229254124,3422.9699999999975,2398.6149999999993
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,23.55157894213394,28555.733000000007,35281.059
Bermuda,Northern America,-42.560656146697475,64.13200000000003,36.836999999999996
Canada,Northern America,39.76768696970065,38617.808,53975.21700000001
Greenland,Northern America,-28.51586670202419,56.565,40.43500000000002
Saint Pierre and Miquelon,Northern America,-38.44839371155166,5.852000000000002,3.601999999999998
United States of America,Northern America,16.222952069146743,339080.235,394089.0590000001
Australia,Oceania,44.963285919254176,26308.571000000004,38137.76899999999
New Zealand,Oceania,16.521157627014794,5206.893,6067.132
Fiji,Oceania,12.106860607931184,933.0660000000005,1046.0309999999997
New Caledonia,Oceania,25.691280601602788,291.488,366.37499999999994
Papua New Guinea,Oceania,81.2438426953669,10236.824999999997,18553.614999999987
Solomon Islands,Oceania,174.24401940663117,732.3270000000001,2008.363
Vanuatu,Oceania,209.33407137196562,330.6059999999998,1022.6770000000002
Guam,Oceania,6.0208740652212915,172.36700000000005,182.74500000000003
Kiribati,Oceania,80.30909612798932,132.38600000000002,238.70399999999998
Marshall Islands,Oceania,21.80739038866555,41.783999999999985,50.895999999999994
Micronesia (Fed. States of),Oceania,0.13165925538412518,114.68999999999994,114.841
Nauru,Oceania,-3.292213404572987,12.727,12.307999999999996
Northern Mariana Islands,Oceania,-16.829032647639004,49.68200000000001,41.321
Palau,Oceania,-22.610477350758725,18.05800000000001,13.974999999999998
American Samoa,Oceania,-71.85423705752963,44.098999999999975,12.411999999999997
Cook Islands,Oceania,-1.7320338186942537,17.032,16.736999999999995
French Polynesia,Oceania,-8.67970779379117,307.59100000000007,280.89299999999986
Niue,Oceania,14.72107438016533,1.9359999999999986,2.220999999999999
Samoa,Oceania,97.04913496045295,224.0359999999999,441.4610000000001
Tokelau,Oceania,49.17597022860183,1.880999999999998,2.8059999999999974
Tonga,Oceania,20.6875023295687,107.31600000000002,129.51699999999997
Tuvalu,Oceania,24.955970412116944,11.355999999999998,14.189999999999998
Wallis and Futuna Islands,Oceania,-14.464099895941732,11.532000000000004,9.864000000000003
