year,source,percentage
1985-01-01T05:00Z,Coal,0.604
1985-01-01T05:00Z,Gas,0.01
1985-01-01T05:00Z,Hydroelectric,0.013
1985-01-01T05:00Z,Nuclear,0.208
1985-01-01T05:00Z,Oil,0.165
1985-01-01T05:00Z,Other renewables,0
1985-01-01T05:00Z,Solar,0
1985-01-01T05:00Z,Wind,0
1986-01-01T05:00Z,Coal,0.675
1986-01-01T05:00Z,Gas,0.006
1986-01-01T05:00Z,Hydroelectric,0.016
1986-01-01T05:00Z,Nuclear,0.198
1986-01-01T05:00Z,Oil,0.105
1986-01-01T05:00Z,Other renewables,0
1986-01-01T05:00Z,Solar,0
1986-01-01T05:00Z,Wind,0
1987-01-01T05:00Z,Coal,0.699
1987-01-01T05:00Z,Gas,0.015
1987-01-01T05:00Z,Hydroelectric,0.014
1987-01-01T05:00Z,Nuclear,0.184
1987-01-01T05:00Z,Oil,0.088
1987-01-01T05:00Z,Other renewables,0
1987-01-01T05:00Z,Solar,0
1987-01-01T05:00Z,Wind,0
1988-01-01T05:00Z,Coal,0.667
1988-01-01T05:00Z,Gas,0.016
1988-01-01T05:00Z,Hydroelectric,0.016
1988-01-01T05:00Z,Nuclear,0.208
1988-01-01T05:00Z,Oil,0.093
1988-01-01T05:00Z,Other renewables,0
1988-01-01T05:00Z,Solar,0
1988-01-01T05:00Z,Wind,0
1989-01-01T05:00Z,Coal,0.643
1989-01-01T05:00Z,Gas,0.016
1989-01-01T05:00Z,Hydroelectric,0.015
1989-01-01T05:00Z,Nuclear,0.231
1989-01-01T05:00Z,Oil,0.095
1989-01-01T05:00Z,Other renewables,0
1989-01-01T05:00Z,Solar,0
1989-01-01T05:00Z,Wind,0
1990-01-01T05:00Z,Coal,0.65
1990-01-01T05:00Z,Gas,0.016
1990-01-01T05:00Z,Hydroelectric,0.016
1990-01-01T05:00Z,Nuclear,0.207
1990-01-01T05:00Z,Oil,0.109
1990-01-01T05:00Z,Other renewables,0.002
1990-01-01T05:00Z,Solar,0
1990-01-01T05:00Z,Wind,0
1991-01-01T05:00Z,Coal,0.658
1991-01-01T05:00Z,Gas,0.018
1991-01-01T05:00Z,Hydroelectric,0.014
1991-01-01T05:00Z,Nuclear,0.22
1991-01-01T05:00Z,Oil,0.088
1991-01-01T05:00Z,Other renewables,0.002
1991-01-01T05:00Z,Solar,0
1991-01-01T05:00Z,Wind,0
1992-01-01T05:00Z,Coal,0.607
1992-01-01T05:00Z,Gas,0.039
1992-01-01T05:00Z,Hydroelectric,0.017
1992-01-01T05:00Z,Nuclear,0.241
1992-01-01T05:00Z,Oil,0.093
1992-01-01T05:00Z,Other renewables,0.003
1992-01-01T05:00Z,Solar,0
1992-01-01T05:00Z,Wind,0
1993-01-01T05:00Z,Coal,0.533
1993-01-01T05:00Z,Gas,0.106
1993-01-01T05:00Z,Hydroelectric,0.013
1993-01-01T05:00Z,Nuclear,0.278
1993-01-01T05:00Z,Oil,0.066
1993-01-01T05:00Z,Other renewables,0.004
1993-01-01T05:00Z,Solar,0
1993-01-01T05:00Z,Wind,0.001
1994-01-01T05:00Z,Coal,0.497
1994-01-01T05:00Z,Gas,0.164
1994-01-01T05:00Z,Hydroelectric,0.016
1994-01-01T05:00Z,Nuclear,0.272
1994-01-01T05:00Z,Oil,0.046
1994-01-01T05:00Z,Other renewables,0.005
1994-01-01T05:00Z,Solar,0
1994-01-01T05:00Z,Wind,0.001
1995-01-01T05:00Z,Coal,0.468
1995-01-01T05:00Z,Gas,0.192
1995-01-01T05:00Z,Hydroelectric,0.014
1995-01-01T05:00Z,Nuclear,0.268
1995-01-01T05:00Z,Oil,0.052
1995-01-01T05:00Z,Other renewables,0.005
1995-01-01T05:00Z,Solar,0
1995-01-01T05:00Z,Wind,0.001
1996-01-01T05:00Z,Coal,0.422
1996-01-01T05:00Z,Gas,0.241
1996-01-01T05:00Z,Hydroelectric,0.01
1996-01-01T05:00Z,Nuclear,0.271
1996-01-01T05:00Z,Oil,0.049
1996-01-01T05:00Z,Other renewables,0.005
1996-01-01T05:00Z,Solar,0
1996-01-01T05:00Z,Wind,0.001
1997-01-01T05:00Z,Coal,0.35
1997-01-01T05:00Z,Gas,0.318
1997-01-01T05:00Z,Hydroelectric,0.013
1997-01-01T05:00Z,Nuclear,0.281
1997-01-01T05:00Z,Oil,0.031
1997-01-01T05:00Z,Other renewables,0.006
1997-01-01T05:00Z,Solar,0
1997-01-01T05:00Z,Wind,0.002
1998-01-01T05:00Z,Coal,0.344
1998-01-01T05:00Z,Gas,0.33
1998-01-01T05:00Z,Hydroelectric,0.014
1998-01-01T05:00Z,Nuclear,0.279
1998-01-01T05:00Z,Oil,0.023
1998-01-01T05:00Z,Other renewables,0.007
1998-01-01T05:00Z,Solar,0
1998-01-01T05:00Z,Wind,0.002
1999-01-01T05:00Z,Coal,0.295
1999-01-01T05:00Z,Gas,0.397
1999-01-01T05:00Z,Hydroelectric,0.015
1999-01-01T05:00Z,Nuclear,0.264
1999-01-01T05:00Z,Oil,0.018
1999-01-01T05:00Z,Other renewables,0.01
1999-01-01T05:00Z,Solar,0
1999-01-01T05:00Z,Wind,0.002
2000-01-01T05:00Z,Coal,0.32
2000-01-01T05:00Z,Gas,0.396
2000-01-01T05:00Z,Hydroelectric,0.014
2000-01-01T05:00Z,Nuclear,0.227
2000-01-01T05:00Z,Oil,0.03
2000-01-01T05:00Z,Other renewables,0.011
2000-01-01T05:00Z,Solar,0
2000-01-01T05:00Z,Wind,0.003
2001-01-01T05:00Z,Coal,0.344
2001-01-01T05:00Z,Gas,0.371
2001-01-01T05:00Z,Hydroelectric,0.011
2001-01-01T05:00Z,Nuclear,0.236
2001-01-01T05:00Z,Oil,0.024
2001-01-01T05:00Z,Other renewables,0.012
2001-01-01T05:00Z,Solar,0
2001-01-01T05:00Z,Wind,0.003
2002-01-01T05:00Z,Coal,0.323
2002-01-01T05:00Z,Gas,0.396
2002-01-01T05:00Z,Hydroelectric,0.012
2002-01-01T05:00Z,Nuclear,0.228
2002-01-01T05:00Z,Oil,0.024
2002-01-01T05:00Z,Other renewables,0.013
2002-01-01T05:00Z,Solar,0
2002-01-01T05:00Z,Wind,0.003
2003-01-01T05:00Z,Coal,0.35
2003-01-01T05:00Z,Gas,0.376
2003-01-01T05:00Z,Hydroelectric,0.008
2003-01-01T05:00Z,Nuclear,0.224
2003-01-01T05:00Z,Oil,0.023
2003-01-01T05:00Z,Other renewables,0.015
2003-01-01T05:00Z,Solar,0
2003-01-01T05:00Z,Wind,0.003
2004-01-01T05:00Z,Coal,0.337
2004-01-01T05:00Z,Gas,0.401
2004-01-01T05:00Z,Hydroelectric,0.012
2004-01-01T05:00Z,Nuclear,0.204
2004-01-01T05:00Z,Oil,0.021
2004-01-01T05:00Z,Other renewables,0.019
2004-01-01T05:00Z,Solar,0
2004-01-01T05:00Z,Wind,0.005
2005-01-01T05:00Z,Coal,0.34
2005-01-01T05:00Z,Gas,0.386
2005-01-01T05:00Z,Hydroelectric,0.012
2005-01-01T05:00Z,Nuclear,0.206
2005-01-01T05:00Z,Oil,0.024
2005-01-01T05:00Z,Other renewables,0.023
2005-01-01T05:00Z,Solar,0
2005-01-01T05:00Z,Wind,0.007
2006-01-01T05:00Z,Coal,0.378
2006-01-01T05:00Z,Gas,0.358
2006-01-01T05:00Z,Hydroelectric,0.012
2006-01-01T05:00Z,Nuclear,0.192
2006-01-01T05:00Z,Oil,0.026
2006-01-01T05:00Z,Other renewables,0.024
2006-01-01T05:00Z,Solar,0
2006-01-01T05:00Z,Wind,0.011
2007-01-01T05:00Z,Coal,0.346
2007-01-01T05:00Z,Gas,0.422
2007-01-01T05:00Z,Hydroelectric,0.013
2007-01-01T05:00Z,Nuclear,0.16
2007-01-01T05:00Z,Oil,0.022
2007-01-01T05:00Z,Other renewables,0.024
2007-01-01T05:00Z,Solar,0
2007-01-01T05:00Z,Wind,0.013
2008-01-01T05:00Z,Coal,0.323
2008-01-01T05:00Z,Gas,0.458
2008-01-01T05:00Z,Hydroelectric,0.013
2008-01-01T05:00Z,Nuclear,0.136
2008-01-01T05:00Z,Oil,0.026
2008-01-01T05:00Z,Other renewables,0.025
2008-01-01T05:00Z,Solar,0
2008-01-01T05:00Z,Wind,0.019
2009-01-01T05:00Z,Coal,0.276
2009-01-01T05:00Z,Gas,0.446
2009-01-01T05:00Z,Hydroelectric,0.014
2009-01-01T05:00Z,Nuclear,0.185
2009-01-01T05:00Z,Oil,0.025
2009-01-01T05:00Z,Other renewables,0.029
2009-01-01T05:00Z,Solar,0
2009-01-01T05:00Z,Wind,0.025
2010-01-01T05:00Z,Coal,0.284
2010-01-01T05:00Z,Gas,0.464
2010-01-01T05:00Z,Hydroelectric,0.009
2010-01-01T05:00Z,Nuclear,0.164
2010-01-01T05:00Z,Oil,0.019
2010-01-01T05:00Z,Other renewables,0.032
2010-01-01T05:00Z,Solar,0
2010-01-01T05:00Z,Wind,0.027
2011-01-01T05:00Z,Coal,0.297
2011-01-01T05:00Z,Gas,0.401
2011-01-01T05:00Z,Hydroelectric,0.016
2011-01-01T05:00Z,Nuclear,0.189
2011-01-01T05:00Z,Oil,0.016
2011-01-01T05:00Z,Other renewables,0.036
2011-01-01T05:00Z,Solar,0.001
2011-01-01T05:00Z,Wind,0.044
2012-01-01T05:00Z,Coal,0.396
2012-01-01T05:00Z,Gas,0.278
2012-01-01T05:00Z,Hydroelectric,0.015
2012-01-01T05:00Z,Nuclear,0.195
2012-01-01T05:00Z,Oil,0.017
2012-01-01T05:00Z,Other renewables,0.041
2012-01-01T05:00Z,Solar,0.004
2012-01-01T05:00Z,Wind,0.055
2013-01-01T05:00Z,Coal,0.367
2013-01-01T05:00Z,Gas,0.27
2013-01-01T05:00Z,Hydroelectric,0.013
2013-01-01T05:00Z,Nuclear,0.199
2013-01-01T05:00Z,Oil,0.015
2013-01-01T05:00Z,Other renewables,0.051
2013-01-01T05:00Z,Solar,0.006
2013-01-01T05:00Z,Wind,0.08
2014-01-01T05:00Z,Coal,0.299
2014-01-01T05:00Z,Gas,0.301
2014-01-01T05:00Z,Hydroelectric,0.018
2014-01-01T05:00Z,Nuclear,0.19
2014-01-01T05:00Z,Oil,0.017
2014-01-01T05:00Z,Other renewables,0.067
2014-01-01T05:00Z,Solar,0.012
2014-01-01T05:00Z,Wind,0.095
2015-01-01T05:00Z,Coal,0.226
2015-01-01T05:00Z,Gas,0.298
2015-01-01T05:00Z,Hydroelectric,0.019
2015-01-01T05:00Z,Nuclear,0.21
2015-01-01T05:00Z,Oil,0.02
2015-01-01T05:00Z,Other renewables,0.085
2015-01-01T05:00Z,Solar,0.022
2015-01-01T05:00Z,Wind,0.12
2016-01-01T05:00Z,Coal,0.092
2016-01-01T05:00Z,Gas,0.428
2016-01-01T05:00Z,Hydroelectric,0.016
2016-01-01T05:00Z,Nuclear,0.214
2016-01-01T05:00Z,Oil,0.022
2016-01-01T05:00Z,Other renewables,0.086
2016-01-01T05:00Z,Solar,0.031
2016-01-01T05:00Z,Wind,0.111
2017-01-01T05:00Z,Coal,0.068
2017-01-01T05:00Z,Gas,0.41
2017-01-01T05:00Z,Hydroelectric,0.018
2017-01-01T05:00Z,Nuclear,0.211
2017-01-01T05:00Z,Oil,0.02
2017-01-01T05:00Z,Other renewables,0.09
2017-01-01T05:00Z,Solar,0.034
2017-01-01T05:00Z,Wind,0.149
2018-01-01T05:00Z,Coal,0.051
2018-01-01T05:00Z,Gas,0.401
2018-01-01T05:00Z,Hydroelectric,0.017
2018-01-01T05:00Z,Nuclear,0.198
2018-01-01T05:00Z,Oil,0.02
2018-01-01T05:00Z,Other renewables,0.1
2018-01-01T05:00Z,Solar,0.039
2018-01-01T05:00Z,Wind,0.173
2019-01-01T05:00Z,Coal,0.022
2019-01-01T05:00Z,Gas,0.411
2019-01-01T05:00Z,Hydroelectric,0.018
2019-01-01T05:00Z,Nuclear,0.179
2019-01-01T05:00Z,Oil,0.021
2019-01-01T05:00Z,Other renewables,0.106
2019-01-01T05:00Z,Solar,0.041
2019-01-01T05:00Z,Wind,0.202
2020-01-01T05:00Z,Coal,0.017
2020-01-01T05:00Z,Gas,0.366
2020-01-01T05:00Z,Hydroelectric,0.022
2020-01-01T05:00Z,Nuclear,0.17
2020-01-01T05:00Z,Oil,0.025
2020-01-01T05:00Z,Other renewables,0.116
2020-01-01T05:00Z,Solar,0.044
2020-01-01T05:00Z,Wind,0.242