country,age,cost,perGovt,type
Australia,82.9,5390,73.8033395176252,Universal Government Funded
Austria,82,6098,74.9098064939324,Universal Public/Private
Belgium,82.1,5805,76.0034453057709,Universal Public
Canada,82.3,5410,69.7781885397412,Universal Government Funded
Chile,80.6,2359,31.9852941176471,Universal Public/Private
Switzerland,84,8160,50.9114031369224,Universal Private
Columbia,76.6,1276,71.1598746081505,Universal Public
Czech Republic,79.3,3265,84.6860643185299,Universal Public
Germany,81.3,6515,77.1603990790483,Universal Public/Private
Denmark,81.5,5950,83.7142857142857,Universal Government Funded
Estonia,84,2586,74.400618716164,Universal Public
Spain,79,3827,70.6036059576692,Universal Government Funded
Finland,82.1,4615,80.1950162513543,Universal Government Funded
France,83,5452,75.1650770359501,Universal Public
United Kingdom,81.4,4856,80.2306425041186,Universal Government Funded
Greece,81.7,2489,48.7746082764162,Universal Government Funded
Hungary,76.5,2110,68.2938388625592,Universal Public
Ireland,82.8,5867,74.6207601840804,Universal Government Funded
Iceland,83.2,4959,82.7989514014922,Universal Government Funded
Israel,82.9,3144,64.6628498727735,Universal Private
Italy,83.6,3836,73.7486965589155,Universal Government Funded
Japan,84.4,4576,84.1127622377622,Universal Public
South Korea,83.3,3498,59.5197255574614,Universal Public
Lithuania,76.5,2697,65.1093807934742,Universal Public
Luxembourg,82.7,6448,85.87158808933,Universal Public
Latvia,75.7,2104,59.8859315589354,Universal Public
Mexico,75.1,1103,47.5067996373527,Universal Public/Private
Netherlands,82.2,6005,65.895087427144,Universal Private
Norway,83,7064,85.7163080407701,Universal Government Funded
New Zealand,82.1,4338,75.1959428307976,Universal Government Funded
Poland,78,2178,71.3957759412305,Universal Public
Portugal,81.9,3445,60.7547169811321,Universal Government Funded
Slovakia,77.8,2222,78.8478847884788,Universal Public
Slovenia,81.6,3479,72.3771198620293,Universal Public
Sweden,83.2,5942,85.1228542578256,Universal Government Funded
Turkey,78.6,1171,77.6259607173356,Universal Public/Private
United States,78.8,10661,51.543007222587,Non-Universal