crash_year,soft_landing,nation,object,full_date,y_offset
1959,false,SU,Luna 2,Sun Sep 13 1959,1
1962,false,US,Ranger 4,Thu Apr 26 1962,1
1964,false,US,Ranger 6,Sun Feb 02 1964,1
1964,false,US,Ranger 7,Fri Jul 31 1964,2
1965,false,US,Ranger 8,Sat Feb 20 1965,1
1965,false,US,Ranger 9,Wed Mar 24 1965,2
1965,false,SU,Luna 5,Wed May 12 1965,3
1965,false,SU,Luna 7,Thu Oct 07 1965,4
1965,false,SU,Luna 8,Mon Dec 06 1965,5
1966,true,SU,Luna 9,Thu Feb 03 1966,1
1966,true,US,Surveyor 1,Thu Jun 02 1966,2
1966,false,US,Surveyor 2,Fri Sep 23 1966,3
1966,false,US,Lunar Orbiter 1,Sat Oct 29 1966,4
1966,true,SU,Luna 13,Sat Dec 24 1966,5
1966,false,SU,Luna 12,Sat Dec 31 1966,6
1967,true,US,Surveyor 3,Thu Apr 20 1967,1
1967,false,US,Surveyor 4,Mon Jul 17 1967,2
1967,false,US,Lunar Orbiter 3,Mon Oct 09 1967,3
1967,false,US,Lunar Orbiter 2,Wed Oct 11 1967,4
1967,false,US,Lunar Orbiter 4,Tue Oct 31 1967,5
1967,true,US,Surveyor 5,Thu Nov 09 1967,6
1967,true,US,Surveyor 6 ,Fri Nov 10 1967,7
1967,false,SU,Luna 11,Sun Dec 31 1967,8
1968,true,US,Surveyor 7 ,Wed Jan 10 1968,1
1968,false,US,Lunar Orbiter 5,Wed Jan 31 1968,2
1969,false,US,Apollo 10 ,Mon Jan 06 1969,1
1969,false,SU,Luna 15,Mon Jul 21 1969,2
1969,true,US,Apollo 12 ,Wed Nov 19 1969,3
1969,false,SU,Luna 10,Wed Dec 31 1969,4
1969,false,SU,Luna 14,Wed Dec 31 1969,5
1969,true,US,Apollo 11 ,Wed Dec 31 1969,6
1969,true,SU,Luna 16,Wed Dec 31 1969,7
1970,false,US,Apollo 13 ,Wed Apr 15 1970,1
1970,true,SU,Luna 17/Lunokhod 1,Thu Dec 31 1970,2
1971,true,US,Apollo 14,Thu Feb 04 1971,1
1971,true,US,Apollo 15,Thu Jul 29 1971,2
1971,false,SU,Luna 18,Sat Sep 11 1971,3
1971,true,SU,Luna 20,Fri Dec 31 1971,4
1972,true,US,Apollo 16 ,Wed Apr 19 1972,1
1972,true,US,Apollo 17,Sun Dec 10 1972,2
1972,false,SU,Luna 19,Sun Dec 31 1972,3
1973,true,SU,Luna 21/Lunokhod 2,Tue Jan 02 1973,1
1974,false,SU,Luna 23,Tue Dec 31 1974,1
1975,false,SU,Luna 22,Wed Dec 31 1975,1
1975,true,SU,Luna 24,Wed Dec 31 1975,2
1993,false,Japan,Hiten,Mon Oct 04 1993,1
1999,false,US,Lunar Prospector,Sat Jul 31 1999,1
2006,false,ESA,SMART-1,Sun Sep 03 2006,1
2008,false,India,Chandrayaan-1,Fri Nov 14 2008,1
2009,false,China,Chang'e 1,Sun Mar 01 2009,1
2009,false,Japan,Kaguya,Wed Jun 10 2009,2
2009,false,US,LCROSS,Fri Oct 09 2009,3
2012,false,US,GRAIL,Mon Dec 17 2012,1
2014,false,US,LADEE,Fri Apr 18 2014,1
2019,false,Israel,Beresheet,Thu Apr 11 2019,1
2019,false,China,Longjiang 2,Wed Jul 31 2019,2
2019,false,India,Chandrayaan-2,Fri Sep 06 2019,3
2020,true,China,Chang'e 5,Mon Dec 07 2020,1
2022,false,China,Likely Chang'e 5-T1,Fri Mar 04 2022,1