Name,State,Party
"Baldwin, Tammy",Wisconsin,Democratic
"Barrasso, John",Wyoming,Republican
"Bennet, Michael F.",Colorado,Democratic
"Blackburn, Marsha",Tennessee,Republican
"Blumenthal, Richard",Connecticut,Democratic
"Blunt, Roy",Missouri,Republican
"Booker, Cory A.",New Jersey,Democratic
"Boozman, John",Arkansas,Republican
"Braun, Mike",Indiana,Republican
"Brown, Sherrod",Ohio,Democratic
"Burr, Richard",North Carolina,Republican
"Cantwell, Maria",Washington,Democratic
"Capito, Shelley Moore",West Virginia,Republican
"Cardin, Benjamin L.",Maryland,Democratic
"Carper, Thomas R.",Delaware,Democratic
"Casey, Robert P., Jr.",Pennsylvania,Democratic
"Cassidy, Bill",Louisiana,Republican
"Collins, Susan M.",Maine,Republican
"Coons, Christopher A.",Delaware,Democratic
"Cornyn, John",Texas,Republican
"Cortez Masto, Catherine",Nevada,Democratic
"Cotton, Tom",Arkansas,Republican
"Cramer, Kevin",North Dakota,Republican
"Crapo, Mike",Idaho,Republican
"Cruz, Ted",Texas,Republican
"Daines, Steve",Montana,Republican
"Duckworth, Tammy",Illinois,Democratic
"Durbin, Richard J.",Illinois,Democratic
"Ernst, Joni",Iowa,Republican
"Feinstein, Dianne",California,Democratic
"Fischer, Deb",Nebraska,Republican
"Gillibrand, Kirsten E.",New York,Democratic
"Graham, Lindsey",South Carolina,Republican
"Grassley, Chuck",Iowa,Republican
"Hagerty, Bill",Tennessee,Republican
"Hassan, Margaret Wood",New Hampshire,Democratic
"Hawley, Josh",Missouri,Republican
"Heinrich, Martin",New Mexico,Democratic
"Hickenlooper, John W.",Colorado,Democratic
"Hirono, Mazie K.",Hawaii,Democratic
"Hoeven, John",North Dakota,Republican
"Hyde-Smith, Cindy",Mississippi,Republican
"Inhofe, James M.",Oklahoma,Republican
"Johnson, Ron",Wisconsin,Republican
"Kaine, Tim",Virginia,Democratic
"Kelly, Mark",Arizona,Democratic
"Kennedy, John",Louisiana,Republican
"King, Angus S., Jr.",Maine,Independent
"Klobuchar, Amy",Minnesota,Democratic
"Lankford, James",Oklahoma,Republican
"Leahy, Patrick J.",Vermont,Democratic
"Lee, Mike",Utah,Republican
"Luján, Ben Ray",New Mexico,Democratic
"Lummis, Cynthia M.",Wyoming,Republican
"Manchin, Joe, III",West Virginia,Democratic
"Markey, Edward J.",Massachusetts,Democratic
"Marshall, Roger",Kansas,Republican
"McConnell, Mitch",Kentucky,Republican
"Menendez, Robert",New Jersey,Democratic
"Merkley, Jeff",Oregon,Democratic
"Moran, Jerry",Kansas,Republican
"Murkowski, Lisa",Alaska,Republican
"Murphy, Christopher",Connecticut,Democratic
"Murray, Patty",Washington,Democratic
"Ossoff, Jon",Georgia,Democratic
"Padilla, Alex",California,Democratic
"Paul, Rand",Kentucky,Republican
"Peters, Gary C.",Michigan,Democratic
"Portman, Rob",Ohio,Republican
"Reed, Jack",Rhode Island,Democratic
"Risch, James E.",Idaho,Republican
"Romney, Mitt",Utah,Republican
"Rosen, Jacky",Nevada,Democratic
"Rounds, Mike",South Dakota,Republican
"Rubio, Marco",Florida,Republican
"Sanders, Bernard",Vermont,Independent
"Sasse, Ben",Nebraska,Republican
"Schatz, Brian",Hawaii,Democratic
"Schumer, Charles E.",New York,Democratic
"Scott, Rick",Florida,Republican
"Scott, Tim",South Carolina,Republican
"Shaheen, Jeanne",New Hampshire,Democratic
"Shelby, Richard C.",Alabama,Republican
"Sinema, Kyrsten",Arizona,Democratic
"Smith, Tina",Minnesota,Democratic
"Stabenow, Debbie",Michigan,Democratic
"Sullivan, Dan",Alaska,Republican
"Tester, Jon",Montana,Democratic
"Thune, John",South Dakota,Republican
"Tillis, Thom",North Carolina,Republican
"Toomey, Patrick J.",Pennsylvania,Republican
"Tuberville, Tommy",Alabama,Republican
"Van Hollen, Chris",Maryland,Democratic
"Warner, Mark R.",Virginia,Democratic
"Warnock, Raphael G.",Georgia,Democratic
"Warren, Elizabeth",Massachusetts,Democratic
"Whitehouse, Sheldon",Rhode Island,Democratic
"Wicker, Roger F.",Mississippi,Republican
"Wyden, Ron",Oregon,Democratic
"Young, Todd",Indiana,Republican