district,state,pop,reps,popDiff,isAtLarge,cumulativePop,cumulativeReps,cumulativePopPct
Resident Commissioner District,Puerto Rico,3263584,0,2493107.3816091954,false,3263584,0,0.009737468697872335
Congressional District,Montana,1104271,1,333794.3816091954,true,4367855,1,0.013032252682739335
Congressional District 22,Texas,1034272,1,263795.3816091954,false,5402127,2,0.016118182514815303
Congressional District 1,Idaho,1007769,1,237292.38160919538,false,6409896,3,0.01912503605135247
Congressional District,Delaware,1003384,1,232907.38160919538,true,7413280,4,0.022118806180126828
Congressional District 9,Florida,1002804,1,232327.38160919538,false,8416084,5,0.025110845778341908
Congressional District 10,Texas,993729,1,223252.38160919538,false,9409813,6,0.02807580854065107
Congressional District 26,Texas,972162,1,201685.38160919538,false,10381975,7,0.030976422419215544
Congressional District 31,Texas,969723,1,199246.38160919538,false,11351698,8,0.033869759118410926
Congressional District 3,Texas,968602,1,198125.38160919538,false,12320300,9,0.036759751119749495
Congressional District 8,Texas,944280,1,173803.38160919538,false,13264580,10,0.03957717421718682
Congressional District 2,North Carolina,938080,1,167603.38160919538,false,14202660,11,0.04237609853968015
Congressional District 12,North Carolina,909148,1,138671.38160919538,false,15111808,12,0.045088699223999364
Congressional District 4,Colorado,908778,1,138301.38160919538,false,16020586,13,0.0478001959491687
Congressional District 16,Florida,907070,1,136593.38160919538,false,16927656,14,0.0505065965602083
Congressional District 4,Utah,905470,1,134993.38160919538,false,17833126,15,0.05320822329384299
Congressional District,South Dakota,895376,1,124899.38160919538,true,18728502,16,0.055879732828399524
Congressional District 10,Virginia,895085,1,124608.38160919538,false,19623587,17,0.05855037411400304
Congressional District 4,Florida,893302,1,122825.38160919538,false,20516889,18,0.06121569550997347
Congressional District 2,Idaho,893154,1,122677.38160919538,false,21410043,19,0.06388057532228394
Congressional District 5,Arizona,891118,1,120641.38160919538,false,22301161,20,0.06653938037559667
Congressional District 12,Texas,889755,1,119278.38160919538,false,23190916,21,0.06919411868209512
Congressional District 4,North Carolina,885785,1,115308.38160919538,false,24076701,22,0.07183701180528265
Congressional District 3,Nevada,883132,1,112655.38160919538,false,24959833,23,0.07447198924299818
Congressional District 21,Texas,877749,1,107272.38160919538,false,25837582,24,0.07709090556691958
Congressional District 25,Texas,876198,1,105721.38160919538,false,26713780,25,0.07970519421343163
Congressional District 3,Iowa,867614,1,97137.38160919538,false,27581394,26,0.08229387100766637
Congressional District 19,Florida,864808,1,94331.38160919538,false,28446202,27,0.08487417561440228
Congressional District 1,Oregon,864740,1,94263.38160919538,false,29310942,28,0.08745427733134847
Congressional District 2,Oregon,864256,1,93779.38160919538,false,30175198,29,0.09003293495037967
Congressional District 8,Arizona,863775,1,93298.38160919538,false,31038973,30,0.09261015742251603
Congressional District 10,Florida,859992,1,89515.38160919538,false,31898965,31,0.09517609265826318
Congressional District 7,Georgia,856376,1,85899.38160919538,false,32755341,32,0.09773123893107526
Congressional District 3,Arkansas,851053,1,80576.38160919538,false,33606394,33,0.1002705031104959
Congressional District 4,Tennessee,850783,1,80306.38160919538,false,34457177,34,0.10280896169810448
Congressional District 11,Florida,850097,1,79620.38160919538,false,35307274,35,0.10534537348577569
Congressional District 5,Oregon,849712,1,79235.38160919538,false,36156986,36,0.10788063655919636
Congressional District 4,Arizona,848908,1,78431.38160919538,false,37005894,37,0.11041350075922106
Congressional District 23,Texas,847567,1,77090.38160919538,false,37853461,38,0.11294236385324577
Congressional District 42,California,841945,1,71468.38160919538,false,38695406,39,0.11545445273553902
Congressional District 3,Oregon,841904,1,71427.38160919538,false,39537310,40,0.11796641928722376
Congressional District 5,Colorado,840942,1,70465.38160919538,false,40378252,41,0.12047551554511882
Congressional District 1,Colorado,838929,1,68452.38160919538,false,41217181,42,0.12297860566850383
Congressional District 7,Tennessee,838746,1,68269.38160919538,false,42055927,43,0.12548114977966066
Congressional District 1,Oklahoma,836922,1,66445.38160919538,false,42892849,44,0.1279782516705759
Congressional District 1,Virginia,836319,1,65842.38160919538,false,43729168,45,0.13047355440644415
Congressional District 6,Texas,833987,1,63510.38160919538,false,44563155,46,0.13296189921599477
Congressional District 6,Colorado,833948,1,63471.38160919538,false,45397103,47,0.13545012766228365
Congressional District 2,Texas,833269,1,62792.38160919538,false,46230372,48,0.1379363301943488
Congressional District 8,North Carolina,831474,1,60997.38160919538,false,47061846,49,0.14041717703270037
Congressional District 7,Virginia,830040,1,59563.38160919538,false,47891886,50,0.14289374528342777
Congressional District 12,Florida,829889,1,59412.38160919538,false,48721775,51,0.1453698629994751
Congressional District 5,Oklahoma,828913,1,58436.38160919538,false,49550688,52,0.14784306865030541
Congressional District 6,Tennessee,828312,1,57835.38160919538,false,50379000,53,0.15031448111343554
Congressional District 6,Louisiana,827852,1,57375.38160919538,false,51206852,54,0.15278452108681173
Congressional District 4,Oregon,825543,1,55066.38160919538,false,52032395,55,0.155247671758358
Congressional District 1,South Carolina,824201,1,53724.38160919538,false,52856596,56,0.1577068183402309
Congressional District 5,Indiana,822535,1,52058.38160919538,false,53679131,57,0.16016099412225593
Congressional District 1,Utah,821989,1,51512.38160919538,false,54501120,58,0.16261354081861656
Congressional District 1,Florida,821362,1,50885.38160919538,false,55322482,59,0.16506421675176913
Congressional District 2,Colorado,820942,1,50465.38160919538,false,56143424,60,0.16751363954210294
Congressional District 15,Florida,820172,1,49695.38160919538,false,56963596,61,0.1699607649039356
Congressional District 5,New York,819686,1,49209.38160919538,false,57783282,62,0.17240644020050655
Congressional District 3,Missouri,817915,1,47438.38160919538,false,58601197,63,0.17484683141152493
Congressional District 7,Texas,817706,1,47229.38160919538,false,59418903,64,0.1772865990348073
Congressional District 1,Louisiana,816893,1,46416.38160919538,false,60235796,65,0.17972394093163332
Congressional District 15,Texas,816197,1,45720.38160919538,false,61051993,66,0.18215920619178821
Congressional District 24,Texas,815338,1,44861.38160919538,false,61867331,67,0.18459190847651133
Congressional District 17,Texas,815271,1,44794.38160919538,false,62682602,68,0.18702441085511815
Congressional District 6,North Carolina,814959,1,44482.38160919538,false,63497561,69,0.18945598232763097
Congressional District 6,Florida,814531,1,44054.38160919538,false,64312092,70,0.19188627678793801
Congressional District 2,Utah,811531,1,41054.38160919538,false,65123623,71,0.19430762022811085
Congressional District 14,Florida,810520,1,40043.38160919538,false,65934143,72,0.19672594717449846
Congressional District 4,Texas,810364,1,39887.38160919538,false,66744507,73,0.1991438086678391
Congressional District 22,California,810279,1,39802.38160919538,false,67554786,74,0.2015614165489426
Congressional District 3,Ohio,809881,1,39404.38160919538,false,68364667,75,0.20397783692804164
Congressional District 18,Florida,809802,1,39325.38160919538,false,69174469,76,0.2063940215969438
Congressional District 45,California,808871,1,38394.38160919538,false,69983340,77,0.208807428465931
Congressional District 9,California,808663,1,38186.38160919538,false,70792003,78,0.21122021473085556
Congressional District 10,New Jersey,808433,1,37956.38160919538,false,71600436,79,0.21363231475090316
Congressional District 4,Nevada,808154,1,37677.38160919538,false,72408590,80,0.21604358232607826
Congressional District 12,Ohio,808118,1,37641.38160919538,false,73216708,81,0.21845474248901178
Congressional District 11,Georgia,807381,1,36904.38160919538,false,74024089,82,0.22086370368466565
Congressional District 4,Oklahoma,805943,1,35466.38160919538,false,74830032,83,0.22326837435800187
Congressional District 9,Georgia,805448,1,34971.38160919538,false,75635480,84,0.22567156811301597
Congressional District 4,New Jersey,804956,1,34479.38160919538,false,76440436,85,0.22807329390072803
Congressional District 5,Maryland,804124,1,33647.38160919538,false,77244560,86,0.23047253727218955
Congressional District 17,Florida,802733,1,32256.381609195378,false,78047293,87,0.2328676303539822
Congressional District 11,Virginia,802026,1,31549.381609195378,false,78849319,88,0.23526061397869655
Congressional District 1,Washington,801211,1,30734.381609195378,false,79650530,89,0.23765116590960778
Congressional District 10,Georgia,800510,1,30033.381609195378,false,80451040,90,0.24003962628548098
Congressional District 7,Washington,799770,1,29293.381609195378,false,81250810,91,0.24242587874305443
Congressional District 7,Missouri,799499,1,29022.381609195378,false,82050309,92,0.2448113226251424
Congressional District 35,Texas,799047,1,28570.381609195378,false,82849356,93,0.24719541788686353
Congressional District 3,Utah,798985,1,28508.381609195378,false,83648341,94,0.24957932816083517
Congressional District 7,Colorado,798759,1,28282.381609195378,false,84447100,95,0.25196256412462337
Congressional District 21,Florida,797947,1,27470.381609195378,false,85245047,96,0.2543433773456286
Congressional District 8,New Jersey,797874,1,27397.381609195378,false,86042921,97,0.25672397275847725
Congressional District 5,Texas,797242,1,26765.381609195378,false,86840163,98,0.25910268248975094
Congressional District 8,Maryland,795556,1,25079.381609195378,false,87635719,99,0.2614763617477092
Congressional District 13,Georgia,795514,1,25037.381609195378,false,88431233,100,0.26384991569138566
Congressional District 7,North Carolina,795070,1,24593.381609195378,false,89226303,101,0.2662221448840822
Congressional District 3,Kansas,794125,1,23648.381609195378,false,90020428,102,0.2685915545054365
Congressional District 8,Florida,793922,1,23445.381609195378,false,90814350,103,0.270960358441095
Congressional District 2,Wisconsin,793162,1,22685.381609195378,false,91607512,104,0.2733268947849862
Congressional District 8,Massachusetts,792652,1,22175.381609195378,false,92400164,105,0.2756919094554546
Congressional District 13,North Carolina,792469,1,21992.381609195378,false,93192633,106,0.27805637811369477
Congressional District 7,Arizona,791774,1,21297.381609195378,false,93984407,107,0.2804187731189372
Congressional District 6,Maryland,791771,1,21294.381609195378,false,94776178,108,0.28278115917315955
Congressional District 3,Massachusetts,790963,1,20486.381609195378,false,95567141,109,0.2851411344192924
Congressional District 3,Oklahoma,790472,1,19995.381609195378,false,96357613,110,0.28749964468179656
Congressional District 10,Washington,790454,1,19977.381609195378,false,97148067,111,0.28985810123818
Congressional District 20,Texas,790332,1,19855.381609195378,false,97938399,112,0.2922161937864113
Congressional District 5,Tennessee,790094,1,19617.381609195378,false,98728493,113,0.29457357622037855
Congressional District 7,California,789764,1,19287.381609195378,false,99518257,114,0.2969299740421311
Congressional District 5,Georgia,789610,1,19133.381609195378,false,100307867,115,0.2992859123781834
Congressional District 30,Texas,789579,1,19102.381609195378,false,101097446,116,0.30164175822036104
Congressional District 6,Missouri,788813,1,18336.381609195378,false,101886259,117,0.303995318568731
Congressional District 4,Maryland,788525,1,18048.381609195378,false,102674784,118,0.3063480196191682
Congressional District 8,Virginia,788119,1,17642.381609195378,false,103462903,119,0.30869950929821377
Congressional District 7,Florida,787989,1,17512.381609195378,false,104250892,120,0.31105061109972026
Congressional District 9,Massachusetts,787195,1,16718.381609195378,false,105038087,121,0.3133993438645646
Congressional District 2,Kentucky,786202,1,15725.381609195378,false,105824289,122,0.3157451138417445
Congressional District 6,Arizona,786168,1,15691.381609195378,false,106610457,123,0.3180907823740295
Congressional District 6,Kentucky,785442,1,14965.381609195378,false,107395899,124,0.320434284759442
Congressional District 9,Arizona,785235,1,14758.381609195378,false,108181134,125,0.32277716952446533
Congressional District 2,Iowa,785047,1,14570.381609195378,false,108966181,126,0.32511949335889356
Congressional District 2,Tennessee,784818,1,14341.381609195378,false,109750999,127,0.3274611339321182
Congressional District 6,California,784724,1,14247.381609195378,false,110535723,128,0.3298024940400453
Congressional District 26,Florida,784436,1,13959.381609195378,false,111320159,129,0.3321429948500395
Congressional District 15,California,784297,1,13820.381609195378,false,112104456,130,0.3344830809294342
Congressional District 10,North Carolina,783974,1,13497.381609195378,false,112888430,131,0.33682220328232776
Congressional District 22,Florida,783681,1,13204.381609195378,false,113672111,132,0.33916045141892154
Congressional District 4,Missouri,783543,1,13066.381609195378,false,114455654,133,0.34149828780858915
Congressional District 4,Kentucky,783484,1,13007.381609195378,false,115239138,134,0.34383594816152746
Congressional District 12,New Jersey,783328,1,12851.381609195378,false,116022466,135,0.3461731430614188
Congressional District 5,Missouri,783027,1,12550.381609195378,false,116805493,136,0.34850943987562333
Congressional District 8,Washington,783018,1,12541.381609195378,false,117588511,137,0.35084570983676744
Congressional District 4,California,782605,1,12128.381609195378,false,118371116,138,0.3531807475408064
Congressional District 18,Texas,781929,1,11452.381609195378,false,119153045,139,0.35551376828164183
Congressional District 5,Massachusetts,781372,1,10895.381609195378,false,119934417,140,0.3578451271164057
Congressional District 4,Virginia,781353,1,10876.381609195378,false,120715770,141,0.36017642926137533
Congressional District 3,Washington,781241,1,10764.381609195378,false,121497011,142,0.36250739723492664
Congressional District 3,Arizona,780337,1,9860.381609195378,false,122277348,143,0.3648356679677442
Congressional District 4,Mississippi,780305,1,9828.381609195378,false,123057653,144,0.36716384322301365
Congressional District 4,South Carolina,780255,1,9778.381609195378,false,123837908,145,0.3694918692946142
Congressional District 8,New York,779894,1,9417.381609195378,false,124617802,146,0.37181881826012525
Congressional District 11,Texas,779873,1,9396.381609195378,false,125397675,147,0.37414570456849533
Congressional District 2,Massachusetts,779662,1,9185.381609195378,false,126177337,148,0.3764719613217827
Congressional District 7,Massachusetts,779197,1,8720.381609195378,false,126956534,149,0.37879683066694925
Congressional District 9,New Jersey,778948,1,8471.381609195378,false,127735482,150,0.38112095707744464
Congressional District 52,California,778194,1,7717.381609195378,false,128513676,151,0.38344283379821303
Congressional District 9,New York,776441,1,5964.381609195378,false,129290117,152,0.38575948013954964
Congressional District 1,Iowa,776069,1,5592.381609195378,false,130066186,153,0.3880750165543896
Congressional District 7,Indiana,775837,1,5360.381609195378,false,130842023,154,0.3903898607570059
Congressional District 4,Georgia,775516,1,5039.381609195378,false,131617539,155,0.39270374720046775
Congressional District 11,North Carolina,775259,1,4782.381609195378,false,132392798,156,0.39501686683987147
Congressional District 32,Texas,774999,1,4522.381609195378,false,133167797,157,0.3973292107241969
Congressional District,North Dakota,774948,1,4471.381609195378,true,133942745,158,0.39964140244118007
Congressional District 6,Massachusetts,774905,1,4428.381609195378,false,134717650,159,0.401953465860208
Congressional District 28,Texas,774870,1,4393.381609195378,false,135492520,160,0.4042654248506677
Congressional District 10,California,774782,1,4305.381609195378,false,136267302,161,0.40657712127787005
Congressional District 3,Florida,774718,1,4241.381609195378,false,137042020,162,0.4088886267499763
Congressional District 1,Arizona,774354,1,3877.3816091953777,false,137816374,163,0.4111990461649729
Congressional District 14,Texas,774332,1,3855.3816091953777,false,138590706,164,0.41350939993915514
Congressional District 9,Indiana,774296,1,3819.3816091953777,false,139365002,165,0.4158196463010958
Congressional District 3,Georgia,773330,1,2853.3816091953777,false,140138332,166,0.41812701043455325
Congressional District 5,Alabama,773212,1,2735.3816091953777,false,140911544,167,0.4204340224945521
Congressional District 2,Arkansas,771880,1,1403.3816091953777,false,141683424,168,0.42273706030161134
Congressional District 11,California,771855,1,1378.3816091953777,false,142455279,169,0.4250400235168362
Congressional District 3,Louisiana,771394,1,917.3816091953777,false,143226673,170,0.4273416112586337
Congressional District 17,California,771306,1,829.3816091953777,false,143997979,171,0.42964293643717394
Congressional District 9,North Carolina,770733,1,256.3816091953777,false,144768712,172,0.43194255197086856
Congressional District 23,California,770688,1,211.38160919537768,false,145539400,173,0.4342420332392612
Congressional District 3,Colorado,769771,1,-705.6183908046223,false,146309171,174,0.4365387784791661
Congressional District 36,Texas,769738,1,-738.6183908046223,false,147078909,175,0.4388354252578496
Congressional District 4,Indiana,769259,1,-1217.6183908046223,false,147848168,176,0.44113064285698494
Congressional District 15,Ohio,769052,1,-1424.6183908046223,false,148617220,177,0.44342524283573104
Congressional District 4,Massachusetts,767979,1,-2497.6183908046223,false,149385199,178,0.4457166413329425
Congressional District 2,Washington,767914,1,-2562.6183908046223,false,150153113,179,0.4480078458913843
Congressional District 1,Ohio,766737,1,-3739.6183908046223,false,150919850,180,0.4502955386662602
Congressional District 2,Maryland,766679,1,-3797.6183908046223,false,151686529,181,0.45258305838808016
Congressional District 2,Nevada,766406,1,-4070.6183908046223,false,152452935,182,0.45486976356706793
Congressional District 9,Texas,765427,1,-5049.618390804622,false,153218362,183,0.45715354772981853
Congressional District 1,Georgia,765267,1,-5209.618390804622,false,153983629,184,0.4594368545048287
Congressional District 23,Florida,765245,1,-5231.618390804622,false,154748874,185,0.4617200956390245
Congressional District 41,California,765124,1,-5352.618390804622,false,155513998,186,0.46400297574874155
Congressional District 16,Texas,765065,1,-5411.618390804622,false,156279063,187,0.46628567982172936
Congressional District 30,California,764996,1,-5480.618390804622,false,157044059,188,0.468568178021254
Congressional District 4,Iowa,764349,1,-6127.618390804622,false,157808408,189,0.4708487457841031
Congressional District 1,Mississippi,764049,1,-6427.618390804622,false,158572457,190,0.47312841844493875
Congressional District 2,Missouri,763765,1,-6711.618390804622,false,159336222,191,0.475407243742535
Congressional District 6,Virginia,763436,1,-7040.618390804622,false,160099658,192,0.47768508741158994
Congressional District 17,New York,763172,1,-7304.618390804622,false,160862830,193,0.479962143390873
Congressional District 5,Washington,763080,1,-7396.618390804622,false,161625910,194,0.4822389248722053
Congressional District 3,California,762445,1,-8031.618390804622,false,162388355,195,0.48451381172094254
Congressional District 6,New Jersey,762208,1,-8268.618390804622,false,163150563,196,0.4867879914390892
Congressional District 36,California,761959,1,-8517.618390804622,false,163912522,197,0.4890614282225647
Congressional District 3,New Jersey,761771,1,-8705.618390804622,false,164674293,198,0.4913343040754451
Congressional District 2,Michigan,761672,1,-8804.618390804622,false,165435965,199,0.4936068845446611
Congressional District 13,California,761542,1,-8934.618390804622,false,166197507,200,0.49587907713633794
Congressional District 3,Indiana,761500,1,-8976.618390804622,false,166959007,201,0.4981511444137329
Congressional District 25,Florida,761486,1,-8990.618390804622,false,167720493,202,0.5004231699197006
Congressional District 7,New Jersey,761486,1,-8990.618390804622,false,168481979,203,0.5026951954256683
Congressional District 3,Virginia,761402,1,-9074.618390804622,false,169243381,204,0.5049669703030722
Congressional District 11,New Jersey,761290,1,-9186.618390804622,false,170004671,205,0.5072384110090578
Congressional District 20,Florida,761114,1,-9362.618390804622,false,170765785,206,0.5095093265885288
Congressional District 53,California,761110,1,-9366.618390804622,false,171526895,207,0.5117802302333063
Congressional District 3,North Carolina,760997,1,-9479.618390804622,false,172287892,208,0.5140507967229921
Congressional District 5,North Carolina,760703,1,-9773.618390804622,false,173048595,209,0.5163204860127047
Congressional District 9,Washington,760454,1,-10022.618390804622,false,173809049,210,0.5185894323677464
Congressional District 6,Georgia,760368,1,-10108.618390804622,false,174569417,211,0.5208581221268773
Congressional District 8,California,759705,1,-10771.618390804622,false,175329122,212,0.5231248337105586
Congressional District 31,California,758538,1,-11938.618390804622,false,176087660,213,0.5253880633474078
Congressional District 4,Pennsylvania,758187,1,-12289.618390804622,false,176845847,214,0.5276502457149013
Congressional District 10,Pennsylvania,758088,1,-12388.618390804622,false,177603935,215,0.5299121326987303
Congressional District 11,Michigan,757991,1,-12485.618390804622,false,178361926,216,0.5321737302662416
Congressional District 10,New York,757587,1,-12889.618390804622,false,179119513,217,0.5344341224297082
Congressional District 6,Pennsylvania,757071,1,-13405.618390804622,false,179876584,218,0.5366929750177117
