date,played
2017-02-04,Yes
2017-02-05,Likely
2017-02-11,Yes
2017-02-12,Likely
2017-02-19,Yes
2017-02-18,Yes
2017-03-04,Likely
2017-03-05,Yes
2017-03-11,Likely
2017-03-18,Yes
2017-03-19,Likely
2017-02-11,Yes
2017-03-25,Yes
2017-03-26,Probably Not
2017-04-02,Yes
2017-04-08,Yes
2017-04-09,Yes
2017-04-14,Yes
2017-04-15,Likely
2017-04-30,Likely
2017-05-05,Probably Not
2017-05-06,Yes
2017-05-07,Likely
2017-05-14,Likely
2017-06-03,Likely
2017-06-04,Yes
2017-06-10,Yes
2017-06-11,Likely
2017-06-24,Yes
2017-06-25,Yes
2017-07-01,Likely
2017-07-02,Likely
2017-07-03,Yes
2017-07-04,Likely
2017-07-09,Likely
2017-07-14,Probably Not
2017-07-15,Probably Not
2017-07-16,Probably Not
2017-07-22,Yes
2017-07-23,Yes
2017-07-30,Likely
2017-08-05,Yes
2017-08-06,Likely
2017-08-07,Probably Not
2017-08-08,Likely
2017-08-09,Yes
2017-08-10,Likely
2017-08-11,Yes
2017-08-12,Likely
2017-08-13,Likely
2017-08-16,Probably Not
2017-08-17,Likely
2017-08-18,Probably Not
2017-08-19,Probably Not
2017-08-20,Yes
2017-09-16,Likely
2017-09-17,Likely
2017-09-22,Likely
2017-09-23,Likely
2017-09-24,Likely
2017-09-29,Probably Not
2017-09-30,Likely
2017-10-01,Yes
2017-10-01,Probably Not
2017-10-07,Yes
2017-10-08,Yes
2017-10-09,Yes
2017-10-14,Yes
2017-10-15,Yes
2017-10-21,Yes
2017-10-22,Yes
2017-10-28,Yes
2017-11-05,Yes
2017-11-22,Likely
2017-11-23,Likely
2017-11-24,Yes
2017-11-25,Yes
2017-11-26,Likely
2017-12-10,Yes
2017-12-23,Yes
2017-12-24,Likely
2017-12-26,Yes
2017-12-27,Likely
2017-12-28,Yes
2017-12-29,Yes
2017-12-30,Yes
2017-12-31,Likely
2018-01-01,Yes
2018-01-13,Yes
2018-01-14,Likely
2018-01-15,Likely
2018-02-03,Likely
2018-02-04,Yes
2018-02-19,Yes
2018-03-03,Likely
2018-03-18,Likely
2018-03-24,Likely
2018-03-25,Likely
2018-03-30,Likely
2018-03-31,Yes
2018-04-15,Yes
2018-04-18,Yes
2018-04-20,Likely
2018-04-21,Yes
2018-04-28,Yes
2018-05-06,Likely
2018-05-12,Yes
2018-05-13,Yes
2018-05-26,Likely
2018-05-27,Yes
2018-06-16,Likely
2018-06-17,Yes
2018-06-24,Yes
2018-06-30,Likely
2018-07-01,Likely
2018-07-04,Likely
2018-07-06,Likely
2018-07-07,Likely
2018-07-08,Yes
2018-07-14,Yes
2018-07-15,Yes
2018-07-21,Maybe
2018-07-22,Maybe
2018-07-28,Maybe
2018-07-29,Maybe
2018-08-03,Yes
2018-08-04,Maybe
2018-08-05,Yes
2018-08-06,Maybe
2018-08-07,Maybe
2018-08-08,Maybe
2018-08-09,Yes
2018-08-10,Maybe
2018-08-11,Maybe
2018-08-12,Maybe
2018-08-13,Maybe
2018-08-17,Maybe
2018-08-18,Maybe
2018-08-19,Yes
2018-08-25,Maybe
2018-08-26,Yes
2018-09-01,Yes
2018-09-02,Yes
2018-09-08,Maybe
2018-09-22,Maybe
2018-09-23,Maybe
2018-09-29,Yes
2018-10-07,Yes
2018-10-14,Maybe
2018-11-21,Yes
2018-11-22,Maybe
2018-11-23,Maybe
2018-11-24,Yes
2018-11-25,Yes
2019-02-02,Yes
2019-02-03,Yes
2019-02-16,Yes
2019-02-17,Maybe
2019-02-18,Maybe
2019-03-09,Yes
2019-03-10,Yes
2019-03-23,Yes
2019-03-24,Yes
2019-03-30,Maybe
2019-03-31,Maybe
2019-04-05,Maybe
2019-04-07,Yes
2019-04-13,Yes
2019-04-19,Yes
2019-04-20,Yes
2019-04-27,Yes
2019-04-28,Yes
2019-04-14,Maybe
2019-05-04,Maybe
2019-05-11,Yes
2019-05-18,Maybe
2019-05-19,Maybe
2019-05-26,Yes
2019-06-01,Maybe
2019-06-02,Yes
2019-06-05,Maybe
2019-06-06,Yes
2019-06-07,Yes
2019-06-09,Maybe
2019-06-08,Maybe
2019-06-15,Maybe
2019-06-16,Yes
2019-06-19,Maybe
2019-06-23,Yes
2019-07-04,Maybe
2019-07-05,Maybe
2019-07-06,Maybe
2019-07-07,Yes
2019-07-13,Yes
2019-07-14,Yes
2019-07-19,Maybe
2019-07-20,Maybe
2019-07-21,Maybe
2019-07-27,Maybe
2019-07-28,Yes
2019-08-03,Yes
2019-08-04,Yes
2019-08-10,Maybe
2019-08-11,Maybe
2019-08-12,Yes
2019-08-13,Maybe
2019-08-14,Maybe
2019-08-15,Maybe
2019-08-16,Maybe
2019-08-17,Yes
2019-08-18,Maybe
2019-08-31,Yes
2019-09-02,Yes
2019-09-07,Yes
2019-09-08,Yes
2019-09-14,Yes
2019-09-15,Maybe
2019-09-21,Maybe
2019-09-28,Yes
2019-09-29,Maybe
2019-10-05,Maybe
2019-10-12,Yes
2019-10-13,Yes
2019-10-26,Yes
2019-11-27,Maybe
2019-11-29,Maybe
2019-11-30,Yes
2019-12-01,Maybe
2019-12-22,Maybe
2019-12-21,Maybe
2019-12-23,Maybe
2019-12-24,Maybe
2019-12-26,Yes
2019-12-27,Maybe
2019-12-28,Maybe
2019-12-29,Yes
2019-12-30,Yes
2019-12-31,Maybe
2020-01-01,Maybe
2020-01-02,Maybe
2020-01-04,Maybe
2020-01-05,Maybe
2020-01-18,Yes
2020-01-19,Maybe
2020-02-01,Yes
2020-02-02,Maybe
2020-02-15,Yes
2020-03-07,Yes
2020-03-08,Yes
2020-05-23,Yes
2020-05-24,Yes
2020-06-12,Maybe
2020-06-13,Maybe
2020-06-14,Maybe
2020-06-21,Yes
2020-06-27,Yes
2020-06-28,Yes
2020-07-03,Yes
2020-07-05,Yes
2020-07-11,Yes
2020-07-10,Maybe
2020-07-12,Maybe
2020-07-18,Yes
2020-07-19,Yes
2020-07-25,Yes
2020-07-26,Maybe
2020-08-01,Yes
2020-08-02,Yes
2020-08-07,Yes
2020-08-08,Yes
2020-08-09,Maybe
2020-08-15,Yes
2020-08-16,Maybe
2020-08-22,Yes
2020-08-23,Yes
2020-08-30,Yes
2020-09-05,Yes
2020-09-06,Yes
2020-09-20,Yes
2020-09-27,Yes
2020-10-01,Maybe
2020-10-15,Maybe
2020-10-16,Maybe
2020-11-07,Yes
2020-11-08,Yes
2020-11-14,Maybe
2020-11-15,Yes
2020-11-21,Yes
2020-11-22,Yes
2020-11-26,Yes
2020-11-27,Yes
2020-11-28,Maybe
2020-12-13,Yes
2020-12-24,Maybe
2020-12-25,Yes
2020-12-27,Maybe
2020-12-28,Yes
2020-12-30,Maybe